rxn_id,reaction_balance_status,reaction_direction
|RXN-21430|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11808|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-18460|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21640|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-9444|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-18790|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN0-5122|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-15969|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN1G-1015|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-22920|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RETICULINE-OXIDASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-7182|,|BALANCED|,
|1.1.1.264-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-18700|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-14183|,|BALANCED|,
|RXN-8541|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17421|,|BALANCED|,|LEFT-TO-RIGHT|
|CIS-2-ENOYL-COA-REDUCTASE-NADPH-RXN|,|UNBALANCED-UNFIXABLE|,
|RXN-12552|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-11664|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-22|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-14829|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-18950|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21623|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|2.4.1.86-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13279|,|BALANCED|,
|3.4.21.94-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-10106|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN0-947|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN0-1441|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-10811|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN1F-162|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-22134|,|UNBALANCED-UNFIXABLE|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-18545|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17258|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-9015|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-2043|,|UNBALANCED-UNFIXABLE|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19404|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12215|,|BALANCED|,|REVERSIBLE|
|RXN-14694|,|UNBALANCED-UNFIXABLE|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16269|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17900|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13459|,|BALANCED|,|REVERSIBLE|
|RXN-21604|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|3.4.13.19-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13801|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|KETAMID-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-10956|,|BALANCED|,
|RXN0-6442|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-20255|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|1.97.1.1-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|6-ACETYLGLUCOSE-DEACETYLASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-9185|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-18456|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17724|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19254|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20970|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-22645|,|BALANCED|,|REVERSIBLE|
|RXN-1181|,|UNDETERMINED|,
|HEMEOSYN-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16814|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-12319|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-16460|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21423|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|4.1.1.81-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|2.8.1.5-RXN|,|BALANCED|,
|PEPTIDYLTRANSFERASE-RXN|,|UNDETERMINED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13941|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN0-2142|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-6201|,|BALANCED|,|LEFT-TO-RIGHT|
