cpd00001,|OH|,|OXONIUM|,|WATER|
cpd00515,|5-KETO-4-DEOXY-D-GLUCARATE|
cpd00516,|MESO-DIAMINOPIMELATE|
cpd00517,|L-1-LYSOPHOSPHATIDATE|
cpd00518,|HYDROXYMUCONATE-SALD|
cpd00519,|D-METHYL-MALONYL-COA|
cpd00520,|2-DH-3-DO-D-ARABINONATE|
cpd00521,|DTDP-DEOH-DEOXY-GLUCOSE|
cpd00522,|CPD-13980|,|DTDP-DEOH-DEOXY-MANNOSE|
cpd00523,|TREHALOSE-6P|
cpd00524,|CPD-14808|,|MYO-INOSOSE|
cpd00525,|UDP-AA-GLUTAMATE|
cpd00526,|CHOLATE|
cpd00527,|5Z13E-15S-9-ALPHA15-DIHYDROXY-11-O|
cpd00528,|NITROGEN-MOLECULE|
cpd00530,|XTP|
cpd00531,|HG+2|
cpd00532,|SUPER-OXIDE|
cpd00533,|DCDP|
cpd00534,|CPD-12290|,|CPD-387|
cpd00536,|OLEATE-CPD|
cpd00537,|CPD-13556|
cpd00538,|2-AMINO-4-HYDROXYPTERIDINE|,|CPD-16478|
cpd00540,|BETAINE|
cpd00541
cpd00542
cpd00543,|ORCINOL-CPD|
cpd00544,|TROPINE|
cpd00545,|BESTATIN|
cpd00546,|CORTISOL|
cpd00547
cpd00548,|ALDOPYRANOSES|
cpd00549,|CPD-219|
cpd00550,|D-SERINE|
cpd00551,|DIACETYL|
cpd00552,|F-|
cpd00553,|MACROCIN|
cpd00554,|NICOTINE|
cpd00555
cpd00556,|PYRIDINE|
cpd00557,|SIROHEME|
cpd00558,|SPERMINE|
cpd00559,|SQUALENE|
cpd00560
cpd00561,|VANILLIN|
cpd00562,|OCTANOL|
cpd00563,|BERBERINE|
cpd00564,|BERGAPTOL|
cpd00565,|CPD-1777|
cpd00566,|CORTISONE|
cpd00567,|D-PROLINE|
cpd00568
cpd00569,|CPD0-1629|
cpd00570
cpd00571,|D-GLUCARATE|
cpd00572
cpd00573,|L-IDONATE|
cpd00574,|MEVALDATE|
cpd00575,|CPD-11291|
cpd00576,|PHLORETIN|
cpd00577,|RETINOATE|
cpd00578,|CPD-56|
cpd00579,|SEROTONIN|
cpd00580,|TROPINONE|
cpd00581,|UROCANATE|
cpd00582,|VESTITONE|
cpd00583,|L-EPINEPHRINE|
cpd00584,|CPD-1111|
cpd00585,|CREATININE|
cpd00586,|CPD-220|
cpd00587,|D-CYSTEINE|
cpd00588,|SORBITOL|
cpd00589,|TAGATOSE|
cpd00590,|DICOUMAROL|
cpd00591,|ETHANAMINE|
cpd00592,|FORMYL-COA|
cpd00593,|ISOFLAVONE|
cpd00594,|L-GULONATE|
cpd00595
cpd00596,|CPD-389|
cpd00597,|VALERATE|
cpd00598,|CPD-661|
cpd00599,|CPD-110|
cpd00601,|CPD-862|
cpd00602,|--CAMPHOR|
cpd00604,|COUMARATE|
cpd00605,|BARBITURATE|
cpd00606,|BIOCHANIN-A|
cpd00607,|CPD-14325|
cpd00608,|D-ALTRONATE|
cpd00609
cpd00610,|GLUTAMIDE|
cpd00611,|D-THREONINE|
cpd00612,|DOPAQUINONE|
cpd00613,|CPD-348|
cpd00614,|CPD-5|
cpd00615,|CPD-4822|
cpd00616,|CPD-659|
cpd00617,|LACTOYL-COA|
cpd00618,|NAPHTHALENE|
cpd00619,|OXOMALONATE|
cpd00620,|CPD-511|
cpd00621
cpd00622,|CPD-374|
cpd00623,|CPD-13612|
cpd00624,|CPD-10148|
cpd00625,|CPD-13041|
cpd00626,|DTDP-D-GLUCOSE|
cpd00627,|CPD-1909|
cpd00628,|CPD-553|
cpd00629,|CPD-73|
cpd00630,|3-KETO-ADIPATE|
cpd00631,|CPD-1112|
cpd00632,|CPD-790|
cpd00633,|ETHYLACETATE|
cpd00634,|CAFFEOYLQUINATE|
cpd00635,|COB-I-ALAMIN|
cpd00636,|CYCLOHEXANOL|
cpd00637,|CPD-218|
cpd00638,|DEAMIDO-NAD|
cpd00639,|FORMONONETIN|
cpd00640,|CPD1F-139|
cpd00641,|HISTIDINOL|
cpd00642,|CPD-16566|,|RHAMNULOSE|
cpd00643,|CPD-17181|
cpd00644,|PANTOTHENATE|
cpd00645,|2-OXOSTEARATE|
cpd00646,|P-NITROPHENOL|
cpd00647,|AMINOMALONATE|
cpd00648,|CPD-13004|
cpd00649
cpd00650,|CROTONYL-COA|
cpd00651,|CPD-1114|
cpd00652,|D-GALACTARATE|
cpd00653,|D-GALACTONATE|
cpd00654,|DEOXYCYTIDINE|
cpd00655,|DEPHOSPHO-COA|
cpd00656
cpd00657,|CPD-12185|
cpd00658,|ISOCHORISMATE|
cpd00659,|NITROUS-OXIDE|
cpd00660,|PENTANOYLCOA-CPD|
cpd00661,|PREGNAN-21-AL|
cpd00662,|PREGNAN-21-OL|
cpd00663,|ACRYLYL-COA|
cpd00664
cpd00665,|ALPHA-MALTOSE|
cpd00666,|TARTRATE|
cpd00667,|CPD-882|
cpd00668
cpd00669,|2-OXOHEXANOATE|
cpd00670,|CINNAMALDEHYDE|
cpd00671
cpd00672
cpd00673,|DIHYDRO-THYMINE|
cpd00674,|CPD-14216|
cpd00675,|CPD-8892|
cpd00676
cpd00677,|3-METHYL-ADENINES|
cpd00678,|CPD-17537|
cpd00679,|CEPHALOSPORIN-C|
cpd00680,|CHLORAMPHENICOL|
cpd00681,|CPD-543|
cpd00682,|CPD-322|
cpd00683,|7-8-DIHYDROPTEROATE|
cpd00684,|DIMETHYLMAL-CPD|
cpd00685
cpd00686
cpd00687,|CPD-19209|,|ISONOCARDICIN-A|
cpd00688,|2-MERCAPTOETHANOL|
cpd00689,|PORPHOBILINOGEN|
cpd00690,|O-SINAPOYLCHOLINE|
cpd00691,|CPD-12513|
cpd00693,|CPD-358|
cpd00694
cpd00695,|2-KETO-GLUTARAMATE|
cpd00696,|CPD-683|
cpd00697,|CGMP|
cpd00698,|CPD-19758|
cpd00699,|DEHYDROQUINATE|
cpd00700,|CPD-3705|
cpd00701,|DITHIOERYTHRITOL|
cpd00702,|CPD-352|
cpd00703,|INDOLE_ACETATE_AUXIN|
cpd00704,|CPD-341|
cpd00705,|CPD-468|
cpd00706,|3-MERCAPTO-PYRUVATE|
cpd00707
cpd00708,|STERIGMATOCYSTIN|
cpd00709,|GALACTOSE|
cpd00710
cpd00711,|CPD-10051|
cpd00712,|2-DEHYDROPANTOATE|
cpd00713
cpd00714,|HYDROXYPROPANAL|
cpd00715,|CPD-375|
cpd00716
cpd00717,|DIHYDROKAEMPFEROL-CMPD|
cpd00718,|CPD-640|
cpd00719,|CPD-1828|
cpd00720,|CPD-584|
cpd00721,|N-ACETYL-SEROTONIN|
cpd00722,|ACETYLSERINE|
cpd00723,|RENILLA-LUCIFERIN|
cpd00724,|ALPHA-D-GALACTOSE|
cpd00725,|CPD-7388|
cpd00726,|CPD-313|
cpd00727,|CPD-67|
cpd00728,|4-HYDROXY-BUTYRATE|
cpd00729,|5-AMINOPENTANAMIDE|
cpd00730,|AQUACOBIIIALAMIN|
cpd00731,|D-ALA-D-ALA|
cpd00732
cpd00733
cpd00734
cpd00735,|CPD-17231|
cpd00736
cpd00737,|METHYLNICOTINATE|
cpd00738,|3-P-SERINE|
cpd00739,|CPD-316|
cpd00740,|TRIMETHYLSULFONIUM|
cpd00741
cpd00742,|CPD-578|
cpd00743,|CPD-627|
cpd00744,|PANTOYL-LACTONE|
cpd00745,|3-HYDROXY-PROPIONATE|
cpd00746,|CPD-14151|
cpd00747,|CPD-15178|
cpd00748
cpd00749,|5-HYDROXY-TRYPTOPHAN|
cpd00750,|D-FUCOSE|
cpd00751,|L-FUCOSE|,|L-FUCOPYRANOSES|
cpd00752,|6-HYDROXY-NICOTINATE|
cpd00753
cpd00754,|CPD-10143|
cpd00755,|HYDROXYMETHYLBILANE|
cpd00756,|DIMETHYL-GLYCINE|
cpd00757,|CPD-265|
cpd00758,|CPD-3462|
cpd00759,|CPD-548|
cpd00760,|2-METHYL-BUTYRYL-COA|
cpd00761
cpd00762,|CPD-592|
cpd00763,|4-MALEYL-ACETOACETATE|
cpd00764,|DIAMINONONANOATE|
cpd00765,|L-GULONO-1-4-LACTONE|
cpd00766,|CPD-318|
cpd00767,|CPD-420|
cpd00768,|CARBAMOYL-SARCOSINE|
cpd00769,|CPD-583|
cpd00770,|FORMYL-GLU|
cpd00771,|CPD-404|
cpd00772,|CPD-9384|
cpd00773,|UDP-N-ACETYLMURAMATE|
cpd00774,|UROPORPHYRINOGEN-III|
cpd00775,|CPD-376|
cpd00776,|EPOXYSQUALENE|
cpd00777,|CPD-125|
cpd00778,|2-5-DIHYDROXYPYRIDINE|
cpd00779,|DIIODO-L-TYROSINE|
cpd00780,|4-FUMARYL-ACETOACETATE|
cpd00781,|5-DEHYDROGLUCONATE|
cpd00782,|CPD-558|
cpd00783
cpd00784,|CYCLOHEXANE-13-DIONE|
cpd00785
cpd00786,|CPD-372|
cpd00787,|BENZYL-DESULFOGLUCOSINOLATE|
cpd00788,|CPD-580|
cpd00789
cpd00790,|CPD-667|
cpd00791,|PROTOPORPHYRINOGEN|
cpd00792,|RED-COENZYME-F420|
cpd00793,|THIAMINE-P|
