RXN-14633,rule0006_060,rule0006_085
RXN-14633_reverse,rule0007_125
RXN-15157,rule0057_1
RXN-15157_reverse,rule0058_1
RXN-15031,rule0059_5
RXN-15031_reverse,rule0060_2
1.1.1.199-RXN
1.1.1.199-RXN_reverse
RXN-12609
RXN-12609_reverse
RXN-17568,rule0005_61
RXN-17568_reverse,rule0004_13
RXN-17981,rule0005_37,rule0005_39
RXN-17981_reverse,rule0004_09
KYNURENINE-3-MONOOXYGENASE-RXN,rule0005_39
KYNURENINE-3-MONOOXYGENASE-RXN_reverse,rule0004_09
RXN-15530,rule0010_27
RXN-15530_reverse,rule0011_16
3.1.3.56-RXN,rule0017_19
3.1.3.56-RXN_reverse,rule0016_076
RXN-18030
RXN-18030_reverse
R604-RXN,rule0052_1,rule0052_2
R604-RXN_reverse,rule0054_1
5.3.3.15-RXN
5.3.3.15-RXN_reverse
3.6.3.36-RXN
3.6.3.36-RXN_reverse
2-METHYLENEGLUTARATE-MUTASE-RXN
2-METHYLENEGLUTARATE-MUTASE-RXN_reverse,rule0028_46,rule0028_50
RXN-17564,rule0038_4
RXN-17564_reverse,rule0039_08
RXN-9762
RXN-9762_reverse
KETOTETROSE-PHOSPHATE-ALDOLASE-RXN,rule0051_19
KETOTETROSE-PHOSPHATE-ALDOLASE-RXN_reverse,rule0053_05
RXN-13095
RXN-13095_reverse
3.1.3.40-RXN,rule0017_15
3.1.3.40-RXN_reverse,rule0016_071
RXN-10757,rule0055_2
RXN-10757_reverse,rule0056_17
RXN0-5359
RXN0-5359_reverse
RXN-18028
RXN-18028_reverse
RXN-16044
RXN-16044_reverse
RXN-13600
RXN-13600_reverse
PANTOTHENOYLCYSTEINE-DECARBOXYLASE-RXN,rule0023_03
PANTOTHENOYLCYSTEINE-DECARBOXYLASE-RXN_reverse,rule0024_07
RXN-4881
RXN-4881_reverse
RXN-9280,rule0010_16
RXN-9280_reverse,rule0011_19
RXN-17050
RXN-17050_reverse
RXN-16507
RXN-16507_reverse
RXN-15066,rule0021_13
RXN-15066_reverse,rule0022_04
BSDOSALCAL-RXN
BSDOSALCAL-RXN_reverse
RXN-12657,rule0072_6
RXN-12657_reverse,rule0073_5
2.7.1.156-RXN,rule0014_27
2.7.1.156-RXN_reverse,rule0015_31
RXN-15569
RXN-15569_reverse
3.6.3.2-RXN
3.6.3.2-RXN_reverse
RXN-11192,rule0006_182
RXN-11192_reverse,rule0007_166
RXN-18442,rule0110_3
RXN-18442_reverse,rule0095_1
ESTRADIOL-17-BETA-DEHYDROGENASE-RXN,rule0003_033
ESTRADIOL-17-BETA-DEHYDROGENASE-RXN_reverse,rule0002_035
RIBOFLAVINASE-RXN
RIBOFLAVINASE-RXN_reverse
RXN66-19,rule0002_014
RXN66-19_reverse,rule0003_019
6.2.1.28-RXN,rule0038_1
6.2.1.28-RXN_reverse,rule0039_02
RXN-8283,rule0009_38
RXN-8283_reverse,rule0008_29
2.1.1.126-RXN,rule0033_04
2.1.1.126-RXN_reverse,rule0034_25
RXN-14054,rule0002_075
RXN-14054_reverse,rule0003_106
RXN-9821,rule0009_08
RXN-9821_reverse,rule0008_38
RXN-11645
RXN-11645_reverse
RXN-5111,rule0110_5
RXN-5111_reverse,rule0095_1
THEANINE-HYDROLASE-RXN,rule0012_259
THEANINE-HYDROLASE-RXN_reverse,rule0013_60
RXN-13133,rule0005_48
RXN-13133_reverse,rule0004_12
RXN-17036,rule0005_62
RXN-17036_reverse
RXN-10807,rule0006_126,rule0124_32,rule0604_2
RXN-10807_reverse,rule0007_126,rule0125_5
RXN-14571,rule0029_1
RXN-14571_reverse,rule0029_5
RXN0-6254,rule0036_28
RXN0-6254_reverse,rule0037_35
RXN-17512,rule0213_2
RXN-17512_reverse,rule0214_2
INOSINE-NUCLEOSIDASE-RXN,rule0012_257
INOSINE-NUCLEOSIDASE-RXN_reverse,rule0013_20
RXN-13640
RXN-13640_reverse
RXN-16544
RXN-16544_reverse
RXN-8724,rule0001_86
RXN-8724_reverse,rule0001_66,rule0384_1
CARNOSINE-N-METHYLTRANSFERASE-RXN
CARNOSINE-N-METHYLTRANSFERASE-RXN_reverse,rule0034_20
2.7.7.34-RXN,rule0036_03
2.7.7.34-RXN_reverse,rule0037_10
OCTOPAMINE-DEHYDRATASE-RXN
OCTOPAMINE-DEHYDRATASE-RXN_reverse
RXN-9201,rule0021_37
RXN-9201_reverse,rule0022_11
RXN-11241
RXN-11241_reverse
RXN-15014,rule0020_02
RXN-15014_reverse,rule0019_10
FLAVONE-7-O-BETA-GLUCOSYLTRANSFERASE-RXN,rule0009_12
FLAVONE-7-O-BETA-GLUCOSYLTRANSFERASE-RXN_reverse,rule0008_18
RXN-12587
RXN-12587_reverse
RXN66-332,rule0035_5
RXN66-332_reverse
RXN-17963,rule0041_16
RXN-17963_reverse,rule0042_09
RXN-15502
RXN-15502_reverse
RXN-14090
RXN-14090_reverse
THYKI-RXN
THYKI-RXN_reverse
R524-RXN
R524-RXN_reverse
RXN-14613,rule0006_025,rule0006_094
RXN-14613_reverse,rule0007_002
2-ENOATE-REDUCTASE-RXN,rule0027_59,rule0027_64
2-ENOATE-REDUCTASE-RXN_reverse,rule0018_72
1.1.1.141-RXN,rule0003_024
1.1.1.141-RXN_reverse,rule0002_091
RXN-13075,rule0097_2
RXN-13075_reverse,rule0096_6
KDO-8PPHOSPHAT-RXN,rule0017_43
KDO-8PPHOSPHAT-RXN_reverse,rule0016_114
RXN-10738,rule0003_134
RXN-10738_reverse,rule0002_124
RXN0-5234,rule0051_07
RXN0-5234_reverse,rule0053_16
RXN-8765
RXN-8765_reverse
RXN-16021,rule0020_02
RXN-16021_reverse,rule0019_07
RXN-12152,rule0760_2
RXN-12152_reverse,rule0759_1
OXALODECARB-RXN,rule0023_10
OXALODECARB-RXN_reverse,rule0024_44
RXN-4781
RXN-4781_reverse
ABC-9-RXN
ABC-9-RXN_reverse
RXN-16489,rule0044_7
RXN-16489_reverse,rule0045_11
BETAGALACTOSID-RXN,rule0006_013,rule0006_034
BETAGALACTOSID-RXN_reverse,rule0007_067
RXN-12629
RXN-12629_reverse,rule0007_041
2.7.1.121-RXN
2.7.1.121-RXN_reverse
RXN-7651,rule0005_45
RXN-7651_reverse,rule0004_10
RXN-15546,rule0020_19
RXN-15546_reverse,rule0019_43
RXN-11174,rule0002_118
RXN-11174_reverse,rule0003_059
ECDYSONE-OXIDASE-RXN
ECDYSONE-OXIDASE-RXN_reverse
RXN66-162,rule0001_35
RXN66-162_reverse,rule0001_26
RETICULINE-OXIDASE-RXN
RETICULINE-OXIDASE-RXN_reverse
6-BETA-HYDROXYHYOSCYAMINE-EPOXIDASE-RXN
6-BETA-HYDROXYHYOSCYAMINE-EPOXIDASE-RXN_reverse
ABC-3-RXN
ABC-3-RXN_reverse
RXN-11624
RXN-11624_reverse
2.1.1.105-RXN,rule0010_28
2.1.1.105-RXN_reverse,rule0011_46
TAXIFOLIN-8-MONOOXYGENASE-RXN,rule0005_12
TAXIFOLIN-8-MONOOXYGENASE-RXN_reverse,rule0004_10
RXN-9796,rule0003_025
RXN-9796_reverse,rule0002_013
RXN-17004
RXN-17004_reverse
RXN-5041
RXN-5041_reverse
RXN-14546,rule0097_3
RXN-14546_reverse,rule0096_7
RXN-13112,rule0021_42
RXN-13112_reverse,rule0022_05
